Patrimônio,Item ID,Tipo,Ação Solicitada,Status Anterior,Status Atual,Localização Anterior,Localização Depoios,Sucesso,Erro (se houver)
UF060553,3758,Computer,INSERIR,?,?,?,biblioteca sa,OK,
UF074425,1368,Computer,INSERIR,?,?,?,biblioteca sa,OK,
uf074576,1350,Computer,INSERIR,?,?,?,biblioteca sa,OK,
uf074581,1367,Computer,INSERIR,?,?,?,biblioteca sa,OK,
MT039873,3367,Monitor,INSERIR,?,?,?,biblioteca sa,OK,
MT080532,3999,Monitor,INSERIR,?,?,?,biblioteca sa,OK,
MT104240,5879,Monitor,INSERIR,?,?,?,biblioteca sa,OK,
MT104241,5880,Monitor,INSERIR,?,?,?,biblioteca sa,OK,
MT104242,5881,Monitor,INSERIR,?,?,?,biblioteca sa,OK,
MT104245,5884,Monitor,INSERIR,?,?,?,biblioteca sa,OK,
B430-IM018113,32,Printer,INSERIR,?,?,?,biblioteca sa,OK,
B430-IM018121,40,Printer,INSERIR,?,?,?,biblioteca sa,OK,
B430-IM018122,41,Printer,INSERIR,?,?,?,biblioteca sa,OK,
B430-IM018124,42,Printer,INSERIR,?,?,?,biblioteca sa,OK,
B430-IM018125,43,Printer,INSERIR,?,?,?,biblioteca sa,OK,
B430-IM018126,44,Printer,INSERIR,?,?,?,biblioteca sa,OK,
B430-IM018128,45,Printer,INSERIR,?,?,?,biblioteca sa,OK,
B430-IM018129,46,Printer,INSERIR,?,?,?,biblioteca sa,OK,
AV097606,1864,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097607,1865,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097608,1866,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097609,1867,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097610,1868,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097611,1869,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097612,1870,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097613,1871,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097614,1872,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097615,1873,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097616,1982,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097617,1983,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097618,1984,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097619,1985,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097620,1986,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097621,1987,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097629,1850,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097630,1851,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097631,1852,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
AV097632,1853,peripheral,INSERIR,?,?,?,biblioteca sa,OK,
