Patrimônio,Item ID,Tipo,Ação Solicitada,Status Anterior,Status Atual,Localização Anterior,Localização Depoios,Sucesso,Erro (se houver)
UF060553,3758,Computer,REMOVER,?,?,?,ss15,OK,
UF074425,1368,Computer,REMOVER,?,?,?,ss15,OK,
uf074576,1350,Computer,REMOVER,?,?,?,ss15,OK,
uf074581,1367,Computer,REMOVER,?,?,?,ss15,OK,
MT039873,3367,Monitor,REMOVER,?,?,?,ss15,OK,
MT080532,3999,Monitor,REMOVER,?,?,?,ss15,OK,
MT104240,5879,Monitor,REMOVER,?,?,?,ss15,OK,
MT104241,5880,Monitor,REMOVER,?,?,?,ss15,OK,
MT104242,5881,Monitor,REMOVER,?,?,?,ss15,OK,
MT104245,5884,Monitor,REMOVER,?,?,?,ss15,OK,
B430-IM018113,32,Printer,REMOVER,?,?,?,ss15,OK,
B430-IM018121,40,Printer,REMOVER,?,?,?,ss15,OK,
B430-IM018122,41,Printer,REMOVER,?,?,?,ss15,OK,
B430-IM018124,42,Printer,REMOVER,?,?,?,ss15,OK,
B430-IM018125,43,Printer,REMOVER,?,?,?,ss15,OK,
B430-IM018126,44,Printer,REMOVER,?,?,?,ss15,OK,
B430-IM018128,45,Printer,REMOVER,?,?,?,ss15,OK,
B430-IM018129,46,Printer,REMOVER,?,?,?,ss15,OK,
AV097606,1864,peripheral,REMOVER,?,?,?,ss15,OK,
AV097607,1865,peripheral,REMOVER,?,?,?,ss15,OK,
AV097608,1866,peripheral,REMOVER,?,?,?,ss15,OK,
AV097609,1867,peripheral,REMOVER,?,?,?,ss15,OK,
AV097610,1868,peripheral,REMOVER,?,?,?,ss15,OK,
AV097611,1869,peripheral,REMOVER,?,?,?,ss15,OK,
AV097612,1870,peripheral,REMOVER,?,?,?,ss15,OK,
AV097613,1871,peripheral,REMOVER,?,?,?,ss15,OK,
AV097614,1872,peripheral,REMOVER,?,?,?,ss15,OK,
AV097615,1873,peripheral,REMOVER,?,?,?,ss15,OK,
AV097616,1982,peripheral,REMOVER,?,?,?,ss15,OK,
AV097617,1983,peripheral,REMOVER,?,?,?,ss15,OK,
AV097618,1984,peripheral,REMOVER,?,?,?,ss15,OK,
AV097619,1985,peripheral,REMOVER,?,?,?,ss15,OK,
AV097620,1986,peripheral,REMOVER,?,?,?,ss15,OK,
AV097621,1987,peripheral,REMOVER,?,?,?,ss15,OK,
AV097629,1850,peripheral,REMOVER,?,?,?,ss15,OK,
AV097630,1851,peripheral,REMOVER,?,?,?,ss15,OK,
AV097631,1852,peripheral,REMOVER,?,?,?,ss15,OK,
AV097632,1853,peripheral,REMOVER,?,?,?,ss15,OK,
